country,iso3,temp_2000,temp_2010,temp_2020,temp_2022,_cleaned_at
"Gambia, The",GMB,0.958,1.324,1.77,1.323,2026-01-20T19:25:15.564441
Georgia,GEO,0.967,2.486,2.006,1.51,2026-01-20T19:25:15.564441
Germany,DEU,1.764,0.196,2.516,2.596,2026-01-20T19:25:15.564441
Ghana,GHA,0.43,1.276,1.284,0.996,2026-01-20T19:25:15.564441
Gibraltar,GIB,0.829,1.318,1.923,2.228,2026-01-20T19:25:15.564441
Greece,GRC,0.679,1.584,1.307,1.04,2026-01-20T19:25:15.564441
Greenland,GRL,0.839,3.058,1.274,1.413,2026-01-20T19:25:15.564441
Grenada,GRD,0.462,1.201,1.235,0.698,2026-01-20T19:25:15.564441
Guadeloupe,GLP,0.279,1.137,1.16,0.773,2026-01-20T19:25:15.564441
Guatemala,GTM,0.31,0.685,1.728,0.916,2026-01-20T19:25:15.564441
Guinea,GIN,0.651,1.321,1.26,1.195,2026-01-20T19:25:15.564441
Guinea-Bissau,GNB,0.996,1.328,1.663,1.295,2026-01-20T19:25:15.564441
Guyana,GUY,0.658,1.115,1.4,1.066,2026-01-20T19:25:15.564441
Haiti,HTI,0.858,1.206,1.537,1.095,2026-01-20T19:25:15.564441
Holy See,VAT,1.177,0.774,1.734,2.028,2026-01-20T19:25:15.564441
Honduras,HND,0.128,0.806,1.813,0.723,2026-01-20T19:25:15.564441
Hungary,HUN,1.733,0.806,1.99,2.142,2026-01-20T19:25:15.564441
Iceland,ISL,0.274,1.147,0.786,1.201,2026-01-20T19:25:15.564441
India,IND,0.35,1.129,0.52,0.79,2026-01-20T19:25:15.564441
Indonesia,IDN,0.275,0.766,1.322,1.085,2026-01-20T19:25:15.564441
"Iran, Islamic Rep. of",IRN,1.215,2.214,1.346,2.37,2026-01-20T19:25:15.564441
Iraq,IRQ,0.995,2.712,1.857,2.147,2026-01-20T19:25:15.564441
Ireland,IRL,0.577,-0.104,1.075,1.764,2026-01-20T19:25:15.564441
Isle of Man,IMN,0.636,-0.111,1.199,1.84,2026-01-20T19:25:15.564441
Israel,ISR,0.25,2.321,1.451,1.079,2026-01-20T19:25:15.564441
Italy,ITA,1.243,0.755,1.902,2.135,2026-01-20T19:25:15.564441
Jamaica,JAM,0.408,1.183,1.623,1.14,2026-01-20T19:25:15.564441
Japan,JPN,0.636,0.922,1.437,1.335,2026-01-20T19:25:15.564441
Jordan,JOR,0.375,2.625,1.617,1.358,2026-01-20T19:25:15.564441
"Kazakhstan, Rep. of",KAZ,1.502,1.306,2.853,2.712,2026-01-20T19:25:15.564441
Kenya,KEN,0.521,1.106,1.344,1.28,2026-01-20T19:25:15.564441
Kiribati,KIR,0.125,0.312,1.425,,2026-01-20T19:25:15.564441
"Korea, Dem. People's Rep. of",PRK,0.594,0.384,1.864,1.61,2026-01-20T19:25:15.564441
"Korea, Rep. of",KOR,0.414,0.498,1.551,1.659,2026-01-20T19:25:15.564441
Kuwait,KWT,1.28,2.602,1.975,2.275,2026-01-20T19:25:15.564441
Kyrgyz Rep.,KGZ,1.131,1.402,1.427,2.619,2026-01-20T19:25:15.564441
Lao People's Dem. Rep.,LAO,0.094,1.431,1.719,1.112,2026-01-20T19:25:15.564441
Latvia,LVA,2.022,0.704,3.55,1.953,2026-01-20T19:25:15.564441
Lebanon,LBN,0.544,2.353,1.623,1.29,2026-01-20T19:25:15.564441
"Lesotho, Kingdom of",LSO,0.326,1.025,0.791,1.372,2026-01-20T19:25:15.564441
Liberia,LBR,0.56,1.42,1.593,1.556,2026-01-20T19:25:15.564441
Libya,LBY,0.306,2.074,1.174,0.559,2026-01-20T19:25:15.564441
Liechtenstein,LIE,1.464,0.48,2.367,2.534,2026-01-20T19:25:15.564441
Lithuania,LTU,2.026,0.766,3.445,1.96,2026-01-20T19:25:15.564441
Luxembourg,LUX,1.651,0.325,2.632,2.926,2026-01-20T19:25:15.564441
"Madagascar, Rep. of",MDG,0.451,1.188,1.137,0.86,2026-01-20T19:25:15.564441
Malawi,MWI,0.797,1.03,1.306,0.816,2026-01-20T19:25:15.564441
Malaysia,MYS,0.449,1.111,1.688,1.367,2026-01-20T19:25:15.564441
Maldives,MDV,0.255,0.683,1.17,0.784,2026-01-20T19:25:15.564441
Mali,MLI,0.647,1.63,1.01,0.887,2026-01-20T19:25:15.564441
Malta,MLT,1.055,1.243,1.643,1.955,2026-01-20T19:25:15.564441
"Marshall Islands, Rep. of the",MHL,-0.159,0.345,0.672,0.007,2026-01-20T19:25:15.564441
Martinique,MTQ,0.262,1.177,1.092,0.684,2026-01-20T19:25:15.564441
"Mauritania, Islamic Rep. of",MRT,1.2,2.02,1.919,1.711,2026-01-20T19:25:15.564441
Mauritius,MUS,0.173,1.076,1.109,0.595,2026-01-20T19:25:15.564441
Mayotte,MYT,0.086,0.947,1.133,0.678,2026-01-20T19:25:15.564441
Mexico,MEX,0.634,0.306,1.726,1.249,2026-01-20T19:25:15.564441
"Micronesia, Federated States of",FSM,-0.029,0.217,0.806,0.627,2026-01-20T19:25:15.564441
"Moldova, Rep. of",MDA,1.498,1.365,3.06,2.143,2026-01-20T19:25:15.564441
Monaco,MCO,1.112,0.452,2.2,2.737,2026-01-20T19:25:15.564441
Mongolia,MNG,0.98,0.306,2.353,2.197,2026-01-20T19:25:15.564441
Montenegro,MNE,,1.185,1.706,1.865,2026-01-20T19:25:15.564441
Montserrat,MSR,0.335,1.153,1.131,0.77,2026-01-20T19:25:15.564441
Morocco,MAR,0.845,2.02,2.107,2.303,2026-01-20T19:25:15.564441
"Mozambique, Rep. of",MOZ,0.375,1.105,1.026,0.834,2026-01-20T19:25:15.564441
Myanmar,MMR,0.223,1.203,1.669,1.436,2026-01-20T19:25:15.564441
Namibia,NAM,-0.041,1.214,0.601,0.239,2026-01-20T19:25:15.564441
"Nauru, Rep. of",NRU,,,,,2026-01-20T19:25:15.564441
Nepal,NPL,0.082,1.138,0.229,1.132,2026-01-20T19:25:15.564441
"Netherlands, The",NLD,1.595,0.1,2.483,2.601,2026-01-20T19:25:15.564441
New Caledonia,NCL,0.759,1.254,1.764,2.421,2026-01-20T19:25:15.564441
New Zealand,NZL,0.265,0.598,0.912,1.319,2026-01-20T19:25:15.564441
Nicaragua,NIC,0.142,0.868,1.526,0.842,2026-01-20T19:25:15.564441
Niger,NER,0.677,1.557,0.776,0.428,2026-01-20T19:25:15.564441
Nigeria,NGA,0.526,1.426,1.127,0.791,2026-01-20T19:25:15.564441
Niue,NIU,,,,,2026-01-20T19:25:15.564441
Norfolk Island,NFK,-0.051,0.47,0.705,1.225,2026-01-20T19:25:15.564441
"North Macedonia, Republic of ",MKD,1.07,1.346,1.467,1.404,2026-01-20T19:25:15.564441
Norway,NOR,1.427,-0.341,2.389,1.918,2026-01-20T19:25:15.564441
Oman,OMN,0.554,1.104,0.496,1.055,2026-01-20T19:25:15.564441
